Time(s),Position(V)
3003.130000,-1.990888
3006.130000,-1.995871
3009.130000,-2.004431
3012.130000,-2.010921
3015.130000,-2.015948
3018.130000,-2.015343
3021.130000,-2.022877
3024.130000,-2.025922
3027.128000,-2.024675
3030.128000,-2.034829
3033.129000,-2.036498
3036.129000,-2.042141
3039.129000,-2.046098
3042.127000,-2.046622
3045.127000,-2.047169
3048.127000,-2.049848
3051.128000,-2.055185
3054.128000,-2.048247
3057.126000,-2.056987
3060.126000,-2.058207
3063.126000,-2.043967
3066.126000,-2.032089
3069.126000,-2.038388
3072.125000,-2.046931
3075.125000,-2.049583
3078.125000,-2.055151
3081.125000,-2.046544
3084.125000,-2.033670
3087.125000,-2.052380
3090.124000,-2.045830
3093.124000,-2.029859
3096.124000,-2.041366
3099.124000,-2.046367
3102.124000,-2.029658
3105.122000,-2.027054
3108.122000,-2.025457
3111.123000,-2.012518
3114.123000,-2.017529
3117.123000,-2.021812
3120.121000,-1.995151
3123.121000,-1.986971
3126.121000,-1.984826
3129.122000,-1.984058
3132.122000,-1.981889
3135.122000,-1.971834
3138.120000,-1.964501
3141.120000,-1.973078
3144.120000,-1.956444
3147.120000,-1.947905
3150.121000,-1.942299
3153.119000,-1.938614
3156.119000,-1.939515
3159.119000,-1.929854
3162.119000,-1.942048
3165.119000,-1.914573
3168.120000,-1.908209
3171.118000,-1.900846
3174.118000,-1.896556
3177.118000,-1.892874
3180.118000,-1.885848
3183.118000,-1.879858
3186.116000,-1.885124
3189.118000,-1.866644
3192.116000,-1.858057
3195.116000,-1.845275
3198.116000,-1.844663
3201.116000,-1.846985
3204.116000,-1.834288
3207.115000,-1.838381
3210.115000,-1.814653
3213.115000,-1.823046
3216.115000,-1.802061
3219.115000,-1.791530
3222.115000,-1.784761
3225.113000,-1.797880
3228.114000,-1.776749
3231.114000,-1.782402
3234.114000,-1.759316
3237.114000,-1.756209
3240.112000,-1.766860
3243.112000,-1.745667
3246.113000,-1.756355
3249.113000,-1.737866
3252.113000,-1.727902
3255.111000,-1.713872
3258.111000,-1.700227
3261.111000,-1.700863
3264.111000,-1.713488
3267.112000,-1.685596
3270.112000,-1.679891
3273.110000,-1.671855
3276.110000,-1.661473
3279.110000,-1.658866
3282.110000,-1.664995
3285.111000,-1.660242
3288.109000,-1.642783
3291.110000,-1.655344
3294.110000,-1.642229
3297.108000,-1.642399
3300.108000,-1.626839
3303.108000,-1.626465
3306.109000,-1.621196
3309.109000,-1.618919
3312.107000,-1.602203
3315.107000,-1.607707
3318.107000,-1.598260
3321.107000,-1.599008
3324.108000,-1.578516
3327.106000,-1.577187
3330.106000,-1.571958
3333.106000,-1.582837
3336.106000,-1.580688
3339.106000,-1.562793
3342.107000,-1.569807
3345.105000,-1.572961
3348.105000,-1.551915
3351.104000,-1.575354
3354.104000,-1.561563
3357.104000,-1.540537
3360.104000,-1.551800
3363.105000,-1.551266
3366.103000,-1.538650
3369.103000,-1.554244
3372.103000,-1.560172
3375.103000,-1.538011
3378.103000,-1.530091
3381.104000,-1.557966
3384.102000,-1.556872
3387.102000,-1.534693
3390.102000,-1.554580
3393.102000,-1.555593
3396.102000,-1.556015
3399.100000,-1.552598
3402.101000,-1.558704
3405.101000,-1.563188
3408.101000,-1.545993
3411.101000,-1.542414
3414.101000,-1.566315
3417.099000,-1.567451
3420.100000,-1.576724
3423.100000,-1.571312
3426.100000,-1.574416
3429.100000,-1.578421
3432.098000,-1.579940
3435.098000,-1.577442
3438.098000,-1.585325
3441.099000,-1.594820
3444.099000,-1.597543
3447.098000,-1.601615
3450.098000,-1.605018
3453.098000,-1.608475
3456.096000,-1.605844
3459.097000,-1.617984
3462.097000,-1.618188
3465.097000,-1.623018
3468.097000,-1.628434
3471.095000,-1.632010
3474.095000,-1.633278
3477.095000,-1.646804
3480.096000,-1.648572
3483.096000,-1.649000
3486.094000,-1.654287
3489.094000,-1.659950
3492.094000,-1.663917
3495.094000,-1.672725
3498.095000,-1.677263
3501.095000,-1.683943
3504.093000,-1.689213
3507.093000,-1.696807
3510.093000,-1.699751
3513.092000,-1.704949
3516.092000,-1.708851
3519.093000,-1.718458
3522.093000,-1.725138
3525.093000,-1.730536
3528.091000,-1.732308
3531.091000,-1.734966
3534.091000,-1.742200
3537.092000,-1.743335
3540.092000,-1.754003
3543.090000,-1.754125
3546.090000,-1.754727
3549.090000,-1.772775
3552.090000,-1.778479
3555.090000,-1.781348
3558.089000,-1.783582
3561.089000,-1.784415
3564.089000,-1.796245
3567.089000,-1.794372
3570.089000,-1.806970
3573.087000,-1.811841
3576.088000,-1.819623
3579.088000,-1.822149
3582.088000,-1.826357
3585.088000,-1.829583
